"table_name","column_name","data_type","length","precision_scale","nullable","default_value","primary_key","foreign_key","foreign_table","foreign_column","classification","approvalStatus","validation_rule"
"branches","id","BIGINT UNSIGNED","N/A","N/A","NO","N/A","YES","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; PRIMARY KEY"
"branches","organization_id","BIGINT UNSIGNED","N/A","N/A","NO","N/A","NO","YES","organizations","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; FK organizations.id; FOREIGN KEY to organizations.id"
"branches","code","VARCHAR","80","N/A","NO","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"branches","name","VARCHAR","180","N/A","NO","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"branches","description","TEXT","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","N/A"
"branches","status","VARCHAR","40","N/A","NO","active","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; ENUM/CHECK; ENUM/CHECK common_status"
"branches","status_changed_at","DATETIME","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","Required by service when status is changed"
"branches","status_changed_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; set null if user profile is removed"
"branches","is_active","TINYINT","1","N/A","NO","1","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"branches","sort_order","INT","N/A","N/A","NO","0","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"branches","created_at","TIMESTAMP","N/A","N/A","NO","CURRENT_TIMESTAMP","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; valid timestamp"
"branches","created_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"branches","updated_at","TIMESTAMP","N/A","N/A","YES","CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","valid timestamp"
"branches","updated_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"branches","deleted_at","TIMESTAMP","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","valid timestamp"
"branches","deleted_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"branches","address_line1","VARCHAR","180","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","N/A"
"branches","city","VARCHAR","120","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","N/A"
"branches","country_code","VARCHAR","2","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","non-negative where business rule applies"
"branches","parent_branch_id","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","branches","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK branches.id; FOREIGN KEY to branches.id"
"departments","id","BIGINT UNSIGNED","N/A","N/A","NO","N/A","YES","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; PRIMARY KEY"
"departments","organization_id","BIGINT UNSIGNED","N/A","N/A","NO","N/A","NO","YES","organizations","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; FK organizations.id; FOREIGN KEY to organizations.id"
"departments","branch_id","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","branches","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK branches.id; FOREIGN KEY to branches.id"
"departments","code","VARCHAR","80","N/A","NO","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"departments","name","VARCHAR","180","N/A","NO","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"departments","description","TEXT","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","N/A"
"departments","status","VARCHAR","40","N/A","NO","active","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; ENUM/CHECK; ENUM/CHECK common_status"
"departments","status_changed_at","DATETIME","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","Required by service when status is changed"
"departments","status_changed_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; set null if user profile is removed"
"departments","is_active","TINYINT","1","N/A","NO","1","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"departments","sort_order","INT","N/A","N/A","NO","0","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"departments","created_at","TIMESTAMP","N/A","N/A","NO","CURRENT_TIMESTAMP","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; valid timestamp"
"departments","created_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"departments","updated_at","TIMESTAMP","N/A","N/A","YES","CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","valid timestamp"
"departments","updated_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"departments","deleted_at","TIMESTAMP","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","valid timestamp"
"departments","deleted_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"departments","parent_department_id","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","departments","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK departments.id; FOREIGN KEY to departments.id"
"teams","id","BIGINT UNSIGNED","N/A","N/A","NO","N/A","YES","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; PRIMARY KEY"
"teams","organization_id","BIGINT UNSIGNED","N/A","N/A","NO","N/A","NO","YES","organizations","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; FK organizations.id; FOREIGN KEY to organizations.id"
"teams","code","VARCHAR","80","N/A","NO","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"teams","name","VARCHAR","180","N/A","NO","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"teams","description","TEXT","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","N/A"
"teams","status","VARCHAR","40","N/A","NO","active","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; ENUM/CHECK; ENUM/CHECK common_status"
"teams","status_changed_at","DATETIME","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","Required by service when status is changed"
"teams","status_changed_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; set null if user profile is removed"
"teams","is_active","TINYINT","1","N/A","NO","1","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"teams","sort_order","INT","N/A","N/A","NO","0","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"teams","created_at","TIMESTAMP","N/A","N/A","NO","CURRENT_TIMESTAMP","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; valid timestamp"
"teams","created_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"teams","updated_at","TIMESTAMP","N/A","N/A","YES","CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","valid timestamp"
"teams","updated_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"teams","deleted_at","TIMESTAMP","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","valid timestamp"
"teams","deleted_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"teams","department_id","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","departments","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK departments.id; FOREIGN KEY to departments.id"
"teams","team_lead_user_id","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"positions","id","BIGINT UNSIGNED","N/A","N/A","NO","N/A","YES","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; PRIMARY KEY"
"positions","organization_id","BIGINT UNSIGNED","N/A","N/A","NO","N/A","NO","YES","organizations","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; FK organizations.id; FOREIGN KEY to organizations.id"
"positions","code","VARCHAR","80","N/A","NO","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"positions","name","VARCHAR","180","N/A","NO","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"positions","description","TEXT","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","N/A"
"positions","status","VARCHAR","40","N/A","NO","active","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; ENUM/CHECK; ENUM/CHECK common_status"
"positions","status_changed_at","DATETIME","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","Required by service when status is changed"
"positions","status_changed_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; set null if user profile is removed"
"positions","is_active","TINYINT","1","N/A","NO","1","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"positions","sort_order","INT","N/A","N/A","NO","0","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"positions","created_at","TIMESTAMP","N/A","N/A","NO","CURRENT_TIMESTAMP","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; valid timestamp"
"positions","created_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"positions","updated_at","TIMESTAMP","N/A","N/A","YES","CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","valid timestamp"
"positions","updated_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"positions","deleted_at","TIMESTAMP","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","valid timestamp"
"positions","deleted_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"positions","department_id","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","departments","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK departments.id; FOREIGN KEY to departments.id"
"positions","grade_level","INT","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","N/A"
"positions","is_managerial","TINYINT","1","N/A","NO","0","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"system_settings","id","BIGINT UNSIGNED","N/A","N/A","NO","N/A","YES","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; PRIMARY KEY"
"system_settings","organization_id","BIGINT UNSIGNED","N/A","N/A","NO","N/A","NO","YES","organizations","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; FK organizations.id; FOREIGN KEY to organizations.id"
"system_settings","description","TEXT","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","N/A"
"system_settings","status","VARCHAR","40","N/A","NO","active","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; ENUM/CHECK; ENUM/CHECK common_status"
"system_settings","status_changed_at","DATETIME","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","Required by service when status is changed"
"system_settings","status_changed_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; set null if user profile is removed"
"system_settings","is_active","TINYINT","1","N/A","NO","1","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"system_settings","metadata_json","JSON","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","JSON_VALID"
"system_settings","created_at","TIMESTAMP","N/A","N/A","NO","CURRENT_TIMESTAMP","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; valid timestamp"
"system_settings","created_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"system_settings","updated_at","TIMESTAMP","N/A","N/A","YES","CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","valid timestamp"
"system_settings","updated_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"system_settings","deleted_at","TIMESTAMP","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","valid timestamp"
"system_settings","deleted_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"system_settings","setting_key","VARCHAR","160","N/A","NO","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"system_settings","setting_scope","VARCHAR","40","N/A","NO","'tenant'","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"system_settings","setting_value_json","JSON","N/A","N/A","NO","N/A","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL; JSON_VALID"
"system_settings","value_type","VARCHAR","40","N/A","NO","'json'","NO","NO","N/A","N/A","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","NOT NULL"
"status_definitions","id","BIGINT UNSIGNED","N/A","N/A","NO","N/A","YES","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","NOT NULL; PRIMARY KEY"
"status_definitions","organization_id","BIGINT UNSIGNED","N/A","N/A","NO","N/A","NO","YES","organizations","id","REJECTED_OR_MERGED","MERGED","NOT NULL; FK organizations.id; FOREIGN KEY to organizations.id"
"status_definitions","code","VARCHAR","80","N/A","NO","N/A","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","NOT NULL"
"status_definitions","name","VARCHAR","180","N/A","NO","N/A","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","NOT NULL"
"status_definitions","description","TEXT","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","N/A"
"status_definitions","status","VARCHAR","40","N/A","NO","active","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","NOT NULL; ENUM/CHECK; ENUM/CHECK common_status"
"status_definitions","status_changed_at","DATETIME","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","Required by service when status is changed"
"status_definitions","status_changed_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","REJECTED_OR_MERGED","MERGED","FK user_profiles.id; set null if user profile is removed"
"status_definitions","is_active","TINYINT","1","N/A","NO","1","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","NOT NULL"
"status_definitions","sort_order","INT","N/A","N/A","NO","0","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","NOT NULL"
"status_definitions","metadata_json","JSON","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","JSON_VALID"
"status_definitions","created_at","TIMESTAMP","N/A","N/A","NO","CURRENT_TIMESTAMP","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","NOT NULL; valid timestamp"
"status_definitions","created_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","REJECTED_OR_MERGED","MERGED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"status_definitions","updated_at","TIMESTAMP","N/A","N/A","YES","CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","valid timestamp"
"status_definitions","updated_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","REJECTED_OR_MERGED","MERGED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"status_definitions","deleted_at","TIMESTAMP","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","valid timestamp"
"status_definitions","deleted_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","REJECTED_OR_MERGED","MERGED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"status_definitions","display_color","VARCHAR","20","N/A","YES","N/A","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","N/A"
"status_definitions","is_terminal","TINYINT","1","N/A","NO","0","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","NOT NULL"
"status_definitions","status_group","VARCHAR","80","N/A","NO","N/A","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","NOT NULL"
"status_transitions","id","BIGINT UNSIGNED","N/A","N/A","NO","N/A","YES","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","NOT NULL; PRIMARY KEY"
"status_transitions","organization_id","BIGINT UNSIGNED","N/A","N/A","NO","N/A","NO","YES","organizations","id","REJECTED_OR_MERGED","MERGED","NOT NULL; FK organizations.id; FOREIGN KEY to organizations.id"
"status_transitions","description","TEXT","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","N/A"
"status_transitions","status","VARCHAR","40","N/A","NO","active","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","NOT NULL; ENUM/CHECK; ENUM/CHECK common_status"
"status_transitions","status_changed_at","DATETIME","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","Required by service when status is changed"
"status_transitions","status_changed_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","REJECTED_OR_MERGED","MERGED","FK user_profiles.id; set null if user profile is removed"
"status_transitions","is_active","TINYINT","1","N/A","NO","1","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","NOT NULL"
"status_transitions","metadata_json","JSON","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","JSON_VALID"
"status_transitions","created_at","TIMESTAMP","N/A","N/A","NO","CURRENT_TIMESTAMP","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","NOT NULL; valid timestamp"
"status_transitions","created_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","REJECTED_OR_MERGED","MERGED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"status_transitions","updated_at","TIMESTAMP","N/A","N/A","YES","CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","valid timestamp"
"status_transitions","updated_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","REJECTED_OR_MERGED","MERGED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"status_transitions","deleted_at","TIMESTAMP","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","valid timestamp"
"status_transitions","deleted_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","REJECTED_OR_MERGED","MERGED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"status_transitions","entity_type","VARCHAR","80","N/A","NO","N/A","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","NOT NULL"
"status_transitions","from_status_id","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","status_definitions","id","REJECTED_OR_MERGED","MERGED","FK status_definitions.id; FOREIGN KEY to status_definitions.id"
"status_transitions","required_permission","VARCHAR","160","N/A","YES","N/A","NO","NO","N/A","N/A","REJECTED_OR_MERGED","MERGED","N/A"
"status_transitions","to_status_id","BIGINT UNSIGNED","N/A","N/A","NO","N/A","NO","YES","status_definitions","id","REJECTED_OR_MERGED","MERGED","NOT NULL; FK status_definitions.id; FOREIGN KEY to status_definitions.id"
"running_numbers","id","BIGINT UNSIGNED","N/A","N/A","NO","N/A","YES","NO","N/A","N/A","P2_ENTERPRISE_FUTURE","DEFERRED","NOT NULL; PRIMARY KEY"
