"ConstraintID","TableName","ConstraintName","ConstraintType","Columns","Rule","ErrorHandling","SuggestedDDLOrNote"
"CON-00018","branches","chk_branches_status","CHECK","status","Allowed values: draft, active, inactive, archived, deleted","","CHECK (`status` IN ('draft', 'active', 'inactive', 'archived', 'deleted'))"
"CON-00019","departments","pk_departments","PRIMARY KEY","id","Every table has a surrogate primary key.","","PRIMARY KEY (`id`)"
"CON-00020","departments","uk_departments_org_code","UNIQUE","organization_id, code","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_departments_org_code` (`organization_id`, `code`)"
"CON-00021","departments","fk_departments_organization_id","FOREIGN KEY","organization_id","Must reference organizations.id.","","FOREIGN KEY (`organization_id`) REFERENCES `organizations` (`id`)"
"CON-00022","departments","fk_departments_branch_id","FOREIGN KEY","branch_id","Must reference branches.id.","","FOREIGN KEY (`branch_id`) REFERENCES `branches` (`id`)"
"CON-00023","departments","fk_departments_status_changed_by","FOREIGN KEY","status_changed_by","Must reference user_profiles.id.","","FOREIGN KEY (`status_changed_by`) REFERENCES `user_profiles` (`id`)"
"CON-00024","departments","fk_departments_created_by","FOREIGN KEY","created_by","Must reference user_profiles.id.","","FOREIGN KEY (`created_by`) REFERENCES `user_profiles` (`id`)"
"CON-00025","departments","fk_departments_updated_by","FOREIGN KEY","updated_by","Must reference user_profiles.id.","","FOREIGN KEY (`updated_by`) REFERENCES `user_profiles` (`id`)"
"CON-00026","departments","fk_departments_deleted_by","FOREIGN KEY","deleted_by","Must reference user_profiles.id.","","FOREIGN KEY (`deleted_by`) REFERENCES `user_profiles` (`id`)"
"CON-00027","departments","fk_departments_parent_department_id","FOREIGN KEY","parent_department_id","Must reference departments.id.","","FOREIGN KEY (`parent_department_id`) REFERENCES `departments` (`id`)"
"CON-00028","departments","chk_departments_status","CHECK","status","Allowed values: draft, active, inactive, archived, deleted","","CHECK (`status` IN ('draft', 'active', 'inactive', 'archived', 'deleted'))"
"CON-00029","teams","pk_teams","PRIMARY KEY","id","Every table has a surrogate primary key.","","PRIMARY KEY (`id`)"
"CON-00030","teams","uk_teams_org_code","UNIQUE","organization_id, code","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_teams_org_code` (`organization_id`, `code`)"
"CON-00031","teams","fk_teams_organization_id","FOREIGN KEY","organization_id","Must reference organizations.id.","","FOREIGN KEY (`organization_id`) REFERENCES `organizations` (`id`)"
"CON-00032","teams","fk_teams_status_changed_by","FOREIGN KEY","status_changed_by","Must reference user_profiles.id.","","FOREIGN KEY (`status_changed_by`) REFERENCES `user_profiles` (`id`)"
"CON-00033","teams","fk_teams_created_by","FOREIGN KEY","created_by","Must reference user_profiles.id.","","FOREIGN KEY (`created_by`) REFERENCES `user_profiles` (`id`)"
"CON-00034","teams","fk_teams_updated_by","FOREIGN KEY","updated_by","Must reference user_profiles.id.","","FOREIGN KEY (`updated_by`) REFERENCES `user_profiles` (`id`)"
"CON-00035","teams","fk_teams_deleted_by","FOREIGN KEY","deleted_by","Must reference user_profiles.id.","","FOREIGN KEY (`deleted_by`) REFERENCES `user_profiles` (`id`)"
"CON-00036","teams","fk_teams_department_id","FOREIGN KEY","department_id","Must reference departments.id.","","FOREIGN KEY (`department_id`) REFERENCES `departments` (`id`)"
"CON-00037","teams","fk_teams_team_lead_user_id","FOREIGN KEY","team_lead_user_id","Must reference user_profiles.id.","","FOREIGN KEY (`team_lead_user_id`) REFERENCES `user_profiles` (`id`)"
"CON-00038","teams","chk_teams_status","CHECK","status","Allowed values: draft, active, inactive, archived, deleted","","CHECK (`status` IN ('draft', 'active', 'inactive', 'archived', 'deleted'))"
"CON-00039","positions","pk_positions","PRIMARY KEY","id","Every table has a surrogate primary key.","","PRIMARY KEY (`id`)"
"CON-00040","positions","uk_positions_org_code","UNIQUE","organization_id, code","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_positions_org_code` (`organization_id`, `code`)"
"CON-00041","positions","fk_positions_organization_id","FOREIGN KEY","organization_id","Must reference organizations.id.","","FOREIGN KEY (`organization_id`) REFERENCES `organizations` (`id`)"
"CON-00042","positions","fk_positions_status_changed_by","FOREIGN KEY","status_changed_by","Must reference user_profiles.id.","","FOREIGN KEY (`status_changed_by`) REFERENCES `user_profiles` (`id`)"
"CON-00043","positions","fk_positions_created_by","FOREIGN KEY","created_by","Must reference user_profiles.id.","","FOREIGN KEY (`created_by`) REFERENCES `user_profiles` (`id`)"
"CON-00044","positions","fk_positions_updated_by","FOREIGN KEY","updated_by","Must reference user_profiles.id.","","FOREIGN KEY (`updated_by`) REFERENCES `user_profiles` (`id`)"
"CON-00045","positions","fk_positions_deleted_by","FOREIGN KEY","deleted_by","Must reference user_profiles.id.","","FOREIGN KEY (`deleted_by`) REFERENCES `user_profiles` (`id`)"
"CON-00046","positions","fk_positions_department_id","FOREIGN KEY","department_id","Must reference departments.id.","","FOREIGN KEY (`department_id`) REFERENCES `departments` (`id`)"
"CON-00047","positions","chk_positions_status","CHECK","status","Allowed values: draft, active, inactive, archived, deleted","","CHECK (`status` IN ('draft', 'active', 'inactive', 'archived', 'deleted'))"
"CON-00048","system_settings","pk_system_settings","PRIMARY KEY","id","Every table has a surrogate primary key.","","PRIMARY KEY (`id`)"
"CON-00049","system_settings","uk_system_settings_organization_id_setting_scope_setting_key","UNIQUE","organization_id, setting_scope, setting_key","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_system_settings_organization_id_setting_scope_setting_key` (`organization_id`, `setting_scope`, `setting_key`)"
"CON-00050","system_settings","fk_system_settings_organization_id","FOREIGN KEY","organization_id","Must reference organizations.id.","","FOREIGN KEY (`organization_id`) REFERENCES `organizations` (`id`)"
"CON-00051","system_settings","fk_system_settings_status_changed_by","FOREIGN KEY","status_changed_by","Must reference user_profiles.id.","","FOREIGN KEY (`status_changed_by`) REFERENCES `user_profiles` (`id`)"
"CON-00052","system_settings","fk_system_settings_created_by","FOREIGN KEY","created_by","Must reference user_profiles.id.","","FOREIGN KEY (`created_by`) REFERENCES `user_profiles` (`id`)"
"CON-00053","system_settings","fk_system_settings_updated_by","FOREIGN KEY","updated_by","Must reference user_profiles.id.","","FOREIGN KEY (`updated_by`) REFERENCES `user_profiles` (`id`)"
"CON-00054","system_settings","fk_system_settings_deleted_by","FOREIGN KEY","deleted_by","Must reference user_profiles.id.","","FOREIGN KEY (`deleted_by`) REFERENCES `user_profiles` (`id`)"
"CON-00055","system_settings","chk_system_settings_status","CHECK","status","Allowed values: draft, active, inactive, archived, deleted","","CHECK (`status` IN ('draft', 'active', 'inactive', 'archived', 'deleted'))"
"CON-00056","system_settings","chk_system_settings_metadata_json_json","JSON VALIDATION","metadata_json","JSON column must contain valid JSON.","","CHECK (JSON_VALID(`metadata_json`))"
"CON-00057","system_settings","chk_system_settings_setting_value_json_json","JSON VALIDATION","setting_value_json","JSON column must contain valid JSON.","","CHECK (JSON_VALID(`setting_value_json`))"
"CON-00128","user_profiles","pk_user_profiles","PRIMARY KEY","id","Every table has a surrogate primary key.","","PRIMARY KEY (`id`)"
"CON-00129","user_profiles","uk_user_profiles_organization_id_email","UNIQUE","organization_id, email","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_user_profiles_organization_id_email` (`organization_id`, `email`)"
"CON-00130","user_profiles","uk_user_profiles_organization_id_external_user_id","UNIQUE","organization_id, external_user_id","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_user_profiles_organization_id_external_user_id` (`organization_id`, `external_user_id`)"
"CON-00131","user_profiles","fk_user_profiles_organization_id","FOREIGN KEY","organization_id","Must reference organizations.id.","","FOREIGN KEY (`organization_id`) REFERENCES `organizations` (`id`)"
"CON-00132","user_profiles","fk_user_profiles_status_changed_by","FOREIGN KEY","status_changed_by","Must reference user_profiles.id.","","FOREIGN KEY (`status_changed_by`) REFERENCES `user_profiles` (`id`)"
"CON-00133","user_profiles","fk_user_profiles_created_by","FOREIGN KEY","created_by","Must reference user_profiles.id.","","FOREIGN KEY (`created_by`) REFERENCES `user_profiles` (`id`)"
"CON-00134","user_profiles","fk_user_profiles_updated_by","FOREIGN KEY","updated_by","Must reference user_profiles.id.","","FOREIGN KEY (`updated_by`) REFERENCES `user_profiles` (`id`)"
"CON-00135","user_profiles","fk_user_profiles_deleted_by","FOREIGN KEY","deleted_by","Must reference user_profiles.id.","","FOREIGN KEY (`deleted_by`) REFERENCES `user_profiles` (`id`)"
"CON-00136","user_profiles","fk_user_profiles_department_id","FOREIGN KEY","department_id","Must reference departments.id.","","FOREIGN KEY (`department_id`) REFERENCES `departments` (`id`)"
"CON-00137","user_profiles","fk_user_profiles_home_project_id","FOREIGN KEY","home_project_id","Must reference bi_projects.id.","","FOREIGN KEY (`home_project_id`) REFERENCES `bi_projects` (`id`)"
"CON-00138","user_profiles","fk_user_profiles_position_id","FOREIGN KEY","position_id","Must reference positions.id.","","FOREIGN KEY (`position_id`) REFERENCES `positions` (`id`)"
"CON-00139","user_profiles","chk_user_profiles_status","CHECK","status","Allowed values: draft, active, inactive, archived, deleted","","CHECK (`status` IN ('draft', 'active', 'inactive', 'archived', 'deleted'))"
"CON-00140","user_profiles","chk_user_profiles_metadata_json_json","JSON VALIDATION","metadata_json","JSON column must contain valid JSON.","","CHECK (JSON_VALID(`metadata_json`))"
"CON-00141","roles","pk_roles","PRIMARY KEY","id","Every table has a surrogate primary key.","","PRIMARY KEY (`id`)"
"CON-00142","roles","uk_roles_org_code","UNIQUE","organization_id, code","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_roles_org_code` (`organization_id`, `code`)"
"CON-00143","roles","fk_roles_organization_id","FOREIGN KEY","organization_id","Must reference organizations.id.","","FOREIGN KEY (`organization_id`) REFERENCES `organizations` (`id`)"
"CON-00144","roles","fk_roles_status_changed_by","FOREIGN KEY","status_changed_by","Must reference user_profiles.id.","","FOREIGN KEY (`status_changed_by`) REFERENCES `user_profiles` (`id`)"
"CON-00145","roles","fk_roles_created_by","FOREIGN KEY","created_by","Must reference user_profiles.id.","","FOREIGN KEY (`created_by`) REFERENCES `user_profiles` (`id`)"
"CON-00146","roles","fk_roles_updated_by","FOREIGN KEY","updated_by","Must reference user_profiles.id.","","FOREIGN KEY (`updated_by`) REFERENCES `user_profiles` (`id`)"
"CON-00147","roles","fk_roles_deleted_by","FOREIGN KEY","deleted_by","Must reference user_profiles.id.","","FOREIGN KEY (`deleted_by`) REFERENCES `user_profiles` (`id`)"
"CON-00148","roles","chk_roles_status","CHECK","status","Allowed values: draft, active, inactive, archived, deleted","","CHECK (`status` IN ('draft', 'active', 'inactive', 'archived', 'deleted'))"
"CON-00149","permissions","pk_permissions","PRIMARY KEY","id","Every table has a surrogate primary key.","","PRIMARY KEY (`id`)"
"CON-00150","permissions","uk_permissions_code","UNIQUE","code","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_permissions_code` (`code`)"
"CON-00151","permissions","uk_permissions_module_key_action_key_resource_key","UNIQUE","module_key, action_key, resource_key","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_permissions_module_key_action_key_resource_key` (`module_key`, `action_key`, `resource_key`)"
"CON-00152","permissions","fk_permissions_status_changed_by","FOREIGN KEY","status_changed_by","Must reference user_profiles.id.","","FOREIGN KEY (`status_changed_by`) REFERENCES `user_profiles` (`id`)"
"CON-00153","permissions","fk_permissions_created_by","FOREIGN KEY","created_by","Must reference user_profiles.id.","","FOREIGN KEY (`created_by`) REFERENCES `user_profiles` (`id`)"
"CON-00154","permissions","fk_permissions_updated_by","FOREIGN KEY","updated_by","Must reference user_profiles.id.","","FOREIGN KEY (`updated_by`) REFERENCES `user_profiles` (`id`)"
"CON-00155","permissions","fk_permissions_deleted_by","FOREIGN KEY","deleted_by","Must reference user_profiles.id.","","FOREIGN KEY (`deleted_by`) REFERENCES `user_profiles` (`id`)"
"CON-00156","permissions","chk_permissions_status","CHECK","status","Allowed values: draft, active, inactive, archived, deleted","","CHECK (`status` IN ('draft', 'active', 'inactive', 'archived', 'deleted'))"
"CON-00157","role_permissions","pk_role_permissions","PRIMARY KEY","id","Every table has a surrogate primary key.","","PRIMARY KEY (`id`)"
"CON-00158","role_permissions","uk_role_permissions_organization_id_role_id_permission_id","UNIQUE","organization_id, role_id, permission_id","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_role_permissions_organization_id_role_id_permission_id` (`organization_id`, `role_id`, `permission_id`)"
"CON-00159","role_permissions","fk_role_permissions_organization_id","FOREIGN KEY","organization_id","Must reference organizations.id.","","FOREIGN KEY (`organization_id`) REFERENCES `organizations` (`id`)"
"CON-00160","role_permissions","fk_role_permissions_status_changed_by","FOREIGN KEY","status_changed_by","Must reference user_profiles.id.","","FOREIGN KEY (`status_changed_by`) REFERENCES `user_profiles` (`id`)"
"CON-00161","role_permissions","fk_role_permissions_created_by","FOREIGN KEY","created_by","Must reference user_profiles.id.","","FOREIGN KEY (`created_by`) REFERENCES `user_profiles` (`id`)"
"CON-00162","role_permissions","fk_role_permissions_updated_by","FOREIGN KEY","updated_by","Must reference user_profiles.id.","","FOREIGN KEY (`updated_by`) REFERENCES `user_profiles` (`id`)"
"CON-00163","role_permissions","fk_role_permissions_permission_id","FOREIGN KEY","permission_id","Must reference permissions.id.","","FOREIGN KEY (`permission_id`) REFERENCES `permissions` (`id`)"
"CON-00164","role_permissions","fk_role_permissions_role_id","FOREIGN KEY","role_id","Must reference roles.id.","","FOREIGN KEY (`role_id`) REFERENCES `roles` (`id`)"
"CON-00165","role_permissions","chk_role_permissions_status","CHECK","status","Allowed values: draft, active, inactive, archived, deleted","","CHECK (`status` IN ('draft', 'active', 'inactive', 'archived', 'deleted'))"
"CON-00166","role_permissions","chk_role_permissions_scope_rule_json_json","JSON VALIDATION","scope_rule_json","JSON column must contain valid JSON.","","CHECK (JSON_VALID(`scope_rule_json`))"
"CON-00167","user_roles","pk_user_roles","PRIMARY KEY","id","Every table has a surrogate primary key.","","PRIMARY KEY (`id`)"
"CON-00168","user_roles","uk_user_roles_organization_id_user_id_role_id_effective_from","UNIQUE","organization_id, user_id, role_id, effective_from","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_user_roles_organization_id_user_id_role_id_effective_from` (`organization_id`, `user_id`, `role_id`, `effective_from`)"
"CON-00169","user_roles","fk_user_roles_organization_id","FOREIGN KEY","organization_id","Must reference organizations.id.","","FOREIGN KEY (`organization_id`) REFERENCES `organizations` (`id`)"
"CON-00170","user_roles","fk_user_roles_status_changed_by","FOREIGN KEY","status_changed_by","Must reference user_profiles.id.","","FOREIGN KEY (`status_changed_by`) REFERENCES `user_profiles` (`id`)"
"CON-00171","user_roles","fk_user_roles_created_by","FOREIGN KEY","created_by","Must reference user_profiles.id.","","FOREIGN KEY (`created_by`) REFERENCES `user_profiles` (`id`)"
"CON-00172","user_roles","fk_user_roles_updated_by","FOREIGN KEY","updated_by","Must reference user_profiles.id.","","FOREIGN KEY (`updated_by`) REFERENCES `user_profiles` (`id`)"
"CON-00173","user_roles","fk_user_roles_deleted_by","FOREIGN KEY","deleted_by","Must reference user_profiles.id.","","FOREIGN KEY (`deleted_by`) REFERENCES `user_profiles` (`id`)"
"CON-00174","user_roles","fk_user_roles_role_id","FOREIGN KEY","role_id","Must reference roles.id.","","FOREIGN KEY (`role_id`) REFERENCES `roles` (`id`)"
"CON-00175","user_roles","fk_user_roles_user_id","FOREIGN KEY","user_id","Must reference user_profiles.id.","","FOREIGN KEY (`user_id`) REFERENCES `user_profiles` (`id`)"
"CON-00176","user_roles","chk_user_roles_status","CHECK","status","Allowed values: draft, active, inactive, archived, deleted","","CHECK (`status` IN ('draft', 'active', 'inactive', 'archived', 'deleted'))"
"CON-00177","user_roles","chk_user_roles_effective_range","DATE RANGE CHECK","effective_from, effective_to","End date must be null or greater than/equal to start date.","","CHECK (`effective_to` IS NULL OR `effective_to` >= `effective_from`)"
"CON-00211","bi_projects","pk_bi_projects","PRIMARY KEY","id","Every table has a surrogate primary key.","","PRIMARY KEY (`id`)"
"CON-00212","bi_projects","uk_bi_projects_org_code","UNIQUE","organization_id, code","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_bi_projects_org_code` (`organization_id`, `code`)"
"CON-00213","bi_projects","uk_bi_projects_organization_id_name","UNIQUE","organization_id, name","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_bi_projects_organization_id_name` (`organization_id`, `name`)"
"CON-00214","bi_projects","fk_bi_projects_organization_id","FOREIGN KEY","organization_id","Must reference organizations.id.","","FOREIGN KEY (`organization_id`) REFERENCES `organizations` (`id`)"
"CON-00215","bi_projects","fk_bi_projects_branch_id","FOREIGN KEY","branch_id","Must reference branches.id.","","FOREIGN KEY (`branch_id`) REFERENCES `branches` (`id`)"
"CON-00216","bi_projects","fk_bi_projects_status_changed_by","FOREIGN KEY","status_changed_by","Must reference user_profiles.id.","","FOREIGN KEY (`status_changed_by`) REFERENCES `user_profiles` (`id`)"
"CON-00217","bi_projects","fk_bi_projects_created_by","FOREIGN KEY","created_by","Must reference user_profiles.id.","","FOREIGN KEY (`created_by`) REFERENCES `user_profiles` (`id`)"
"CON-00218","bi_projects","fk_bi_projects_updated_by","FOREIGN KEY","updated_by","Must reference user_profiles.id.","","FOREIGN KEY (`updated_by`) REFERENCES `user_profiles` (`id`)"
"CON-00219","bi_projects","fk_bi_projects_deleted_by","FOREIGN KEY","deleted_by","Must reference user_profiles.id.","","FOREIGN KEY (`deleted_by`) REFERENCES `user_profiles` (`id`)"
"CON-00220","bi_projects","fk_bi_projects_active_dashboard_id","FOREIGN KEY","active_dashboard_id","Must reference bi_dashboards.id.","","FOREIGN KEY (`active_dashboard_id`) REFERENCES `bi_dashboards` (`id`)"
"CON-00221","bi_projects","fk_bi_projects_active_sheet_id","FOREIGN KEY","active_sheet_id","Must reference bi_sheets.id.","","FOREIGN KEY (`active_sheet_id`) REFERENCES `bi_sheets` (`id`)"
"CON-00222","bi_projects","fk_bi_projects_owner_user_id","FOREIGN KEY","owner_user_id","Must reference user_profiles.id.","","FOREIGN KEY (`owner_user_id`) REFERENCES `user_profiles` (`id`)"
"CON-00223","bi_projects","chk_bi_projects_status","CHECK","status","Allowed values: draft, active, inactive, archived, deleted","","CHECK (`status` IN ('draft', 'active', 'inactive', 'archived', 'deleted'))"
"CON-00224","bi_projects","chk_bi_projects_metadata_json_json","JSON VALIDATION","metadata_json","JSON column must contain valid JSON.","","CHECK (JSON_VALID(`metadata_json`))"
"CON-00225","bi_project_members","pk_bi_project_members","PRIMARY KEY","id","Every table has a surrogate primary key.","","PRIMARY KEY (`id`)"
"CON-00226","bi_project_members","uk_bi_project_members_organization_id_project_id_user_id","UNIQUE","organization_id, project_id, user_id","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_bi_project_members_organization_id_project_id_user_id` (`organization_id`, `project_id`, `user_id`)"
"CON-00227","bi_project_members","fk_bi_project_members_organization_id","FOREIGN KEY","organization_id","Must reference organizations.id.","","FOREIGN KEY (`organization_id`) REFERENCES `organizations` (`id`)"
"CON-00228","bi_project_members","fk_bi_project_members_branch_id","FOREIGN KEY","branch_id","Must reference branches.id.","","FOREIGN KEY (`branch_id`) REFERENCES `branches` (`id`)"
"CON-00229","bi_project_members","fk_bi_project_members_project_id","FOREIGN KEY","project_id","Must reference bi_projects.id.","","FOREIGN KEY (`project_id`) REFERENCES `bi_projects` (`id`)"
"CON-00230","bi_project_members","fk_bi_project_members_status_changed_by","FOREIGN KEY","status_changed_by","Must reference user_profiles.id.","","FOREIGN KEY (`status_changed_by`) REFERENCES `user_profiles` (`id`)"
"CON-00231","bi_project_members","fk_bi_project_members_created_by","FOREIGN KEY","created_by","Must reference user_profiles.id.","","FOREIGN KEY (`created_by`) REFERENCES `user_profiles` (`id`)"
"CON-00232","bi_project_members","fk_bi_project_members_updated_by","FOREIGN KEY","updated_by","Must reference user_profiles.id.","","FOREIGN KEY (`updated_by`) REFERENCES `user_profiles` (`id`)"
"CON-00233","bi_project_members","fk_bi_project_members_deleted_by","FOREIGN KEY","deleted_by","Must reference user_profiles.id.","","FOREIGN KEY (`deleted_by`) REFERENCES `user_profiles` (`id`)"
"CON-00234","bi_project_members","fk_bi_project_members_role_id","FOREIGN KEY","role_id","Must reference roles.id.","","FOREIGN KEY (`role_id`) REFERENCES `roles` (`id`)"
"CON-00235","bi_project_members","fk_bi_project_members_user_id","FOREIGN KEY","user_id","Must reference user_profiles.id.","","FOREIGN KEY (`user_id`) REFERENCES `user_profiles` (`id`)"
"CON-00236","bi_project_members","chk_bi_project_members_status","CHECK","status","Allowed values: draft, active, inactive, archived, deleted","","CHECK (`status` IN ('draft', 'active', 'inactive', 'archived', 'deleted'))"
"CON-00237","bi_project_members","chk_bi_project_members_permission_override_json_json","JSON VALIDATION","permission_override_json","JSON column must contain valid JSON.","","CHECK (JSON_VALID(`permission_override_json`))"
"CON-00238","bi_sheets","pk_bi_sheets","PRIMARY KEY","id","Every table has a surrogate primary key.","","PRIMARY KEY (`id`)"
"CON-00239","bi_sheets","uk_bi_sheets_organization_id_project_id_name","UNIQUE","organization_id, project_id, name","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_bi_sheets_organization_id_project_id_name` (`organization_id`, `project_id`, `name`)"
"CON-00240","bi_sheets","fk_bi_sheets_organization_id","FOREIGN KEY","organization_id","Must reference organizations.id.","","FOREIGN KEY (`organization_id`) REFERENCES `organizations` (`id`)"
"CON-00241","bi_sheets","fk_bi_sheets_branch_id","FOREIGN KEY","branch_id","Must reference branches.id.","","FOREIGN KEY (`branch_id`) REFERENCES `branches` (`id`)"
"CON-00242","bi_sheets","fk_bi_sheets_project_id","FOREIGN KEY","project_id","Must reference bi_projects.id.","","FOREIGN KEY (`project_id`) REFERENCES `bi_projects` (`id`)"
"CON-00243","bi_sheets","fk_bi_sheets_status_changed_by","FOREIGN KEY","status_changed_by","Must reference user_profiles.id.","","FOREIGN KEY (`status_changed_by`) REFERENCES `user_profiles` (`id`)"
"CON-00244","bi_sheets","fk_bi_sheets_created_by","FOREIGN KEY","created_by","Must reference user_profiles.id.","","FOREIGN KEY (`created_by`) REFERENCES `user_profiles` (`id`)"
"CON-00245","bi_sheets","fk_bi_sheets_updated_by","FOREIGN KEY","updated_by","Must reference user_profiles.id.","","FOREIGN KEY (`updated_by`) REFERENCES `user_profiles` (`id`)"
"CON-00246","bi_sheets","fk_bi_sheets_deleted_by","FOREIGN KEY","deleted_by","Must reference user_profiles.id.","","FOREIGN KEY (`deleted_by`) REFERENCES `user_profiles` (`id`)"
"CON-00247","bi_sheets","chk_bi_sheets_status","CHECK","status","Allowed values: draft, active, inactive, archived, deleted","","CHECK (`status` IN ('draft', 'active', 'inactive', 'archived', 'deleted'))"
"CON-00248","bi_sheets","chk_bi_sheets_sheet_settings_json_json","JSON VALIDATION","sheet_settings_json","JSON column must contain valid JSON.","","CHECK (JSON_VALID(`sheet_settings_json`))"
"CON-00249","workspace_contexts","pk_workspace_contexts","PRIMARY KEY","id","Every table has a surrogate primary key.","","PRIMARY KEY (`id`)"
"CON-00250","workspace_contexts","uk_workspace_sessions_organization_id_user_id","UNIQUE","organization_id, user_id","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_workspace_sessions_organization_id_user_id` (`organization_id`, `user_id`)"
"CON-00251","workspace_contexts","fk_workspace_contexts_organization_id","FOREIGN KEY","organization_id","Must reference organizations.id.","","FOREIGN KEY (`organization_id`) REFERENCES `organizations` (`id`)"
"CON-00252","workspace_contexts","fk_workspace_contexts_created_by","FOREIGN KEY","created_by","Must reference user_profiles.id.","","FOREIGN KEY (`created_by`) REFERENCES `user_profiles` (`id`)"
"CON-00253","workspace_contexts","fk_workspace_contexts_updated_by","FOREIGN KEY","updated_by","Must reference user_profiles.id.","","FOREIGN KEY (`updated_by`) REFERENCES `user_profiles` (`id`)"
"CON-00254","workspace_contexts","fk_workspace_contexts_deleted_by","FOREIGN KEY","deleted_by","Must reference user_profiles.id.","","FOREIGN KEY (`deleted_by`) REFERENCES `user_profiles` (`id`)"
"CON-00255","workspace_contexts","fk_workspace_contexts_active_dashboard_id","FOREIGN KEY","active_dashboard_id","Must reference bi_dashboards.id.","","FOREIGN KEY (`active_dashboard_id`) REFERENCES `bi_dashboards` (`id`)"
"CON-00256","workspace_contexts","fk_workspace_contexts_active_project_id","FOREIGN KEY","active_project_id","Must reference bi_projects.id.","","FOREIGN KEY (`active_project_id`) REFERENCES `bi_projects` (`id`)"
"CON-00257","workspace_contexts","fk_workspace_contexts_active_sheet_id","FOREIGN KEY","active_sheet_id","Must reference bi_sheets.id.","","FOREIGN KEY (`active_sheet_id`) REFERENCES `bi_sheets` (`id`)"
"CON-00258","workspace_contexts","fk_workspace_contexts_user_id","FOREIGN KEY","user_id","Must reference user_profiles.id.","","FOREIGN KEY (`user_id`) REFERENCES `user_profiles` (`id`)"
