"TableName","IndexName","Columns","IndexType","Unique","Purpose","Priority","SuggestedDDL"
"bi_projects","uk_bi_projects_organization_id_name","organization_id, name","BTREE","YES","Business uniqueness rule.","required","UNIQUE KEY `uk_bi_projects_organization_id_name` (`organization_id`, `name`)"
"bi_sheets","idx_bi_sheets_branch_id","branch_id","BTREE","NO","Foreign key lookup to branches.","required","KEY `idx_bi_sheets_branch_id` (`branch_id`)"
"bi_sheets","idx_bi_sheets_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_bi_sheets_created_by` (`created_by`)"
"bi_sheets","idx_bi_sheets_deleted_by","deleted_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_bi_sheets_deleted_by` (`deleted_by`)"
"bi_sheets","idx_bi_sheets_organization_id","organization_id","BTREE","NO","Foreign key lookup to organizations.","required","KEY `idx_bi_sheets_organization_id` (`organization_id`)"
"bi_sheets","idx_bi_sheets_project_id","project_id","BTREE","NO","Foreign key lookup to bi_projects.","required","KEY `idx_bi_sheets_project_id` (`project_id`)"
"bi_sheets","idx_bi_sheets_status_changed_by","status_changed_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_bi_sheets_status_changed_by` (`status_changed_by`)"
"bi_sheets","idx_bi_sheets_updated_by","updated_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_bi_sheets_updated_by` (`updated_by`)"
"bi_sheets","pk_bi_sheets","id","BTREE","YES","Primary lookup and relationship target.","required","UNIQUE KEY `pk_bi_sheets` (`id`)"
"bi_sheets","uk_bi_sheets_organization_id_project_id_name","organization_id, project_id, name","BTREE","YES","Business uniqueness rule.","required","UNIQUE KEY `uk_bi_sheets_organization_id_project_id_name` (`organization_id`, `project_id`, `name`)"
"branches","idx_branches_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_branches_created_by` (`created_by`)"
"branches","idx_branches_deleted_by","deleted_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_branches_deleted_by` (`deleted_by`)"
"branches","idx_branches_organization_id","organization_id","BTREE","NO","Foreign key lookup to organizations.","required","KEY `idx_branches_organization_id` (`organization_id`)"
"branches","idx_branches_parent_branch_id","parent_branch_id","BTREE","NO","Foreign key lookup to branches.","required","KEY `idx_branches_parent_branch_id` (`parent_branch_id`)"
"branches","idx_branches_status_changed_by","status_changed_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_branches_status_changed_by` (`status_changed_by`)"
"branches","idx_branches_updated_by","updated_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_branches_updated_by` (`updated_by`)"
"branches","pk_branches","id","BTREE","YES","Primary lookup and relationship target.","required","UNIQUE KEY `pk_branches` (`id`)"
"branches","uk_branches_org_code","organization_id, code","BTREE","YES","Tenant-scoped business code uniqueness.","required","UNIQUE KEY `uk_branches_org_code` (`organization_id`, `code`)"
"chart_analytics_overlays","idx_chart_analytics_overlays_chart_id","chart_id","BTREE","NO","Foreign key lookup to charts.","required","KEY `idx_chart_analytics_overlays_chart_id` (`chart_id`)"
"chart_analytics_overlays","idx_chart_analytics_overlays_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_analytics_overlays_created_by` (`created_by`)"
"chart_analytics_overlays","idx_chart_analytics_overlays_deleted_by","deleted_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_analytics_overlays_deleted_by` (`deleted_by`)"
"chart_analytics_overlays","idx_chart_analytics_overlays_organization_id","organization_id","BTREE","NO","Foreign key lookup to organizations.","required","KEY `idx_chart_analytics_overlays_organization_id` (`organization_id`)"
"chart_analytics_overlays","idx_chart_analytics_overlays_status_changed_by","status_changed_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_analytics_overlays_status_changed_by` (`status_changed_by`)"
"chart_analytics_overlays","idx_chart_analytics_overlays_updated_by","updated_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_analytics_overlays_updated_by` (`updated_by`)"
"chart_analytics_overlays","pk_chart_analytics_overlays","id","BTREE","YES","Primary lookup and relationship target.","required","UNIQUE KEY `pk_chart_analytics_overlays` (`id`)"
"chart_exports","idx_chart_exports_chart_id","chart_id","BTREE","NO","Foreign key lookup to charts.","required","KEY `idx_chart_exports_chart_id` (`chart_id`)"
"chart_exports","idx_chart_exports_chart_version_id","chart_version_id","BTREE","NO","Foreign key lookup to chart_versions.","required","KEY `idx_chart_exports_chart_version_id` (`chart_version_id`)"
"chart_exports","idx_chart_exports_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_exports_created_by` (`created_by`)"
"chart_exports","idx_chart_exports_deleted_by","deleted_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_exports_deleted_by` (`deleted_by`)"
"chart_exports","idx_chart_exports_export_job_id","export_job_id","BTREE","NO","Foreign key lookup to export_jobs.","required","KEY `idx_chart_exports_export_job_id` (`export_job_id`)"
"chart_exports","idx_chart_exports_organization_id","organization_id","BTREE","NO","Foreign key lookup to organizations.","required","KEY `idx_chart_exports_organization_id` (`organization_id`)"
"chart_exports","idx_chart_exports_status_changed_by","status_changed_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_exports_status_changed_by` (`status_changed_by`)"
"chart_exports","idx_chart_exports_updated_by","updated_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_exports_updated_by` (`updated_by`)"
"chart_exports","pk_chart_exports","id","BTREE","YES","Primary lookup and relationship target.","required","UNIQUE KEY `pk_chart_exports` (`id`)"
"chart_presets","idx_chart_presets_chart_type_id","chart_type_id","BTREE","NO","Foreign key lookup to chart_types.","required","KEY `idx_chart_presets_chart_type_id` (`chart_type_id`)"
"chart_presets","idx_chart_presets_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_presets_created_by` (`created_by`)"
"chart_presets","idx_chart_presets_deleted_by","deleted_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_presets_deleted_by` (`deleted_by`)"
"chart_presets","idx_chart_presets_organization_id","organization_id","BTREE","NO","Foreign key lookup to organizations.","required","KEY `idx_chart_presets_organization_id` (`organization_id`)"
"chart_presets","idx_chart_presets_owner_user_id","owner_user_id","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_presets_owner_user_id` (`owner_user_id`)"
"chart_presets","idx_chart_presets_status_changed_by","status_changed_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_presets_status_changed_by` (`status_changed_by`)"
"chart_presets","idx_chart_presets_updated_by","updated_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_presets_updated_by` (`updated_by`)"
"chart_presets","pk_chart_presets","id","BTREE","YES","Primary lookup and relationship target.","required","UNIQUE KEY `pk_chart_presets` (`id`)"
"chart_presets","uk_chart_presets_org_code","organization_id, code","BTREE","YES","Tenant-scoped business code uniqueness.","required","UNIQUE KEY `uk_chart_presets_org_code` (`organization_id`, `code`)"
"chart_templates","idx_chart_templates_chart_type_id","chart_type_id","BTREE","NO","Foreign key lookup to chart_types.","required","KEY `idx_chart_templates_chart_type_id` (`chart_type_id`)"
"chart_templates","idx_chart_templates_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_templates_created_by` (`created_by`)"
"chart_templates","idx_chart_templates_deleted_by","deleted_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_templates_deleted_by` (`deleted_by`)"
"chart_templates","idx_chart_templates_organization_id","organization_id","BTREE","NO","Foreign key lookup to organizations.","required","KEY `idx_chart_templates_organization_id` (`organization_id`)"
"chart_templates","idx_chart_templates_status_changed_by","status_changed_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_templates_status_changed_by` (`status_changed_by`)"
"chart_templates","idx_chart_templates_updated_by","updated_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_templates_updated_by` (`updated_by`)"
"chart_templates","pk_chart_templates","id","BTREE","YES","Primary lookup and relationship target.","required","UNIQUE KEY `pk_chart_templates` (`id`)"
"chart_templates","uk_chart_templates_org_code","organization_id, code","BTREE","YES","Tenant-scoped business code uniqueness.","required","UNIQUE KEY `uk_chart_templates_org_code` (`organization_id`, `code`)"
"chart_theme_presets","idx_chart_theme_presets_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_theme_presets_created_by` (`created_by`)"
"chart_theme_presets","idx_chart_theme_presets_deleted_by","deleted_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_theme_presets_deleted_by` (`deleted_by`)"
"chart_theme_presets","idx_chart_theme_presets_organization_id","organization_id","BTREE","NO","Foreign key lookup to organizations.","required","KEY `idx_chart_theme_presets_organization_id` (`organization_id`)"
"chart_theme_presets","idx_chart_theme_presets_status_changed_by","status_changed_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_theme_presets_status_changed_by` (`status_changed_by`)"
"chart_theme_presets","idx_chart_theme_presets_updated_by","updated_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_theme_presets_updated_by` (`updated_by`)"
"chart_theme_presets","pk_chart_theme_presets","id","BTREE","YES","Primary lookup and relationship target.","required","UNIQUE KEY `pk_chart_theme_presets` (`id`)"
"chart_theme_presets","uk_chart_theme_presets_org_code","organization_id, code","BTREE","YES","Tenant-scoped business code uniqueness.","required","UNIQUE KEY `uk_chart_theme_presets_org_code` (`organization_id`, `code`)"
"chart_type_requirements","idx_chart_type_requirements_chart_type_id","chart_type_id","BTREE","NO","Foreign key lookup to chart_types.","required","KEY `idx_chart_type_requirements_chart_type_id` (`chart_type_id`)"
"chart_type_requirements","idx_chart_type_requirements_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_type_requirements_created_by` (`created_by`)"
"chart_type_requirements","idx_chart_type_requirements_deleted_by","deleted_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_type_requirements_deleted_by` (`deleted_by`)"
"chart_type_requirements","idx_chart_type_requirements_status_changed_by","status_changed_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_type_requirements_status_changed_by` (`status_changed_by`)"
"chart_type_requirements","idx_chart_type_requirements_updated_by","updated_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_type_requirements_updated_by` (`updated_by`)"
"chart_type_requirements","pk_chart_type_requirements","id","BTREE","YES","Primary lookup and relationship target.","required","UNIQUE KEY `pk_chart_type_requirements` (`id`)"
"chart_type_requirements","uk_chart_type_requirements_chart_type_id_slot_id","chart_type_id, slot_id","BTREE","YES","Business uniqueness rule.","required","UNIQUE KEY `uk_chart_type_requirements_chart_type_id_slot_id` (`chart_type_id`, `slot_id`)"
"chart_types","idx_chart_types_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_types_created_by` (`created_by`)"
"chart_types","idx_chart_types_deleted_by","deleted_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_types_deleted_by` (`deleted_by`)"
"chart_types","idx_chart_types_status_changed_by","status_changed_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_types_status_changed_by` (`status_changed_by`)"
"chart_types","idx_chart_types_updated_by","updated_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_types_updated_by` (`updated_by`)"
"chart_types","pk_chart_types","id","BTREE","YES","Primary lookup and relationship target.","required","UNIQUE KEY `pk_chart_types` (`id`)"
"chart_types","uk_chart_types_code","code","BTREE","YES","Global business code uniqueness.","required","UNIQUE KEY `uk_chart_types_code` (`code`)"
"chart_versions","idx_chart_versions_chart_id","chart_id","BTREE","NO","Foreign key lookup to charts.","required","KEY `idx_chart_versions_chart_id` (`chart_id`)"
"chart_versions","idx_chart_versions_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_versions_created_by` (`created_by`)"
"chart_versions","idx_chart_versions_organization_id","organization_id","BTREE","NO","Foreign key lookup to organizations.","required","KEY `idx_chart_versions_organization_id` (`organization_id`)"
"chart_versions","idx_chart_versions_updated_by","updated_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_chart_versions_updated_by` (`updated_by`)"
"chart_versions","pk_chart_versions","id","BTREE","YES","Primary lookup and relationship target.","required","UNIQUE KEY `pk_chart_versions` (`id`)"
"chart_versions","uk_chart_versions_organization_id_chart_id_version_no","organization_id, chart_id, version_no","BTREE","YES","Business uniqueness rule.","required","UNIQUE KEY `uk_chart_versions_organization_id_chart_id_version_no` (`organization_id`, `chart_id`, `version_no`)"
"charts","idx_charts_org_branch","organization_id, branch_id","BTREE","NO","Tenant and branch scoped filtering.","recommended","KEY `idx_charts_org_branch` (`organization_id`, `branch_id`)"
"charts","idx_charts_org_created","organization_id, created_at","BTREE","NO","Tenant timeline and retention filtering.","recommended","KEY `idx_charts_org_created` (`organization_id`, `created_at`)"
"charts","idx_charts_org_status","organization_id, status","BTREE","NO","Tenant status filtering.","recommended","KEY `idx_charts_org_status` (`organization_id`, `status`)"
"charts","idx_charts_branch_id","branch_id","BTREE","NO","Foreign key lookup to branches.","required","KEY `idx_charts_branch_id` (`branch_id`)"
"charts","idx_charts_chart_type_id","chart_type_id","BTREE","NO","Foreign key lookup to chart_types.","required","KEY `idx_charts_chart_type_id` (`chart_type_id`)"
"charts","idx_charts_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_charts_created_by` (`created_by`)"
"charts","idx_charts_dataset_id","dataset_id","BTREE","NO","Foreign key lookup to datasets.","required","KEY `idx_charts_dataset_id` (`dataset_id`)"
"charts","idx_charts_deleted_by","deleted_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_charts_deleted_by` (`deleted_by`)"
"charts","idx_charts_organization_id","organization_id","BTREE","NO","Foreign key lookup to organizations.","required","KEY `idx_charts_organization_id` (`organization_id`)"
"charts","idx_charts_project_id","project_id","BTREE","NO","Foreign key lookup to bi_projects.","required","KEY `idx_charts_project_id` (`project_id`)"
"charts","idx_charts_sql_query_id","sql_query_id","BTREE","NO","Foreign key lookup to sql_queries.","required","KEY `idx_charts_sql_query_id` (`sql_query_id`)"
"charts","idx_charts_status_changed_by","status_changed_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_charts_status_changed_by` (`status_changed_by`)"
"charts","idx_charts_updated_by","updated_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_charts_updated_by` (`updated_by`)"
"charts","pk_charts","id","BTREE","YES","Primary lookup and relationship target.","required","UNIQUE KEY `pk_charts` (`id`)"
"charts","uk_charts_organization_id_project_id_name","organization_id, project_id, name","BTREE","YES","Business uniqueness rule.","required","UNIQUE KEY `uk_charts_organization_id_project_id_name` (`organization_id`, `project_id`, `name`)"
"dashboard_drilldown_paths","idx_dashboard_drilldown_paths_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_dashboard_drilldown_paths_created_by` (`created_by`)"
"dashboard_drilldown_paths","idx_dashboard_drilldown_paths_deleted_by","deleted_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_dashboard_drilldown_paths_deleted_by` (`deleted_by`)"
"dashboard_drilldown_paths","idx_dashboard_drilldown_paths_interaction_id","interaction_id","BTREE","NO","Foreign key lookup to dashboard_interactions.","required","KEY `idx_dashboard_drilldown_paths_interaction_id` (`interaction_id`)"
"dashboard_drilldown_paths","idx_dashboard_drilldown_paths_organization_id","organization_id","BTREE","NO","Foreign key lookup to organizations.","required","KEY `idx_dashboard_drilldown_paths_organization_id` (`organization_id`)"
"dashboard_drilldown_paths","idx_dashboard_drilldown_paths_source_widget_id","source_widget_id","BTREE","NO","Foreign key lookup to dashboard_widgets.","required","KEY `idx_dashboard_drilldown_paths_source_widget_id` (`source_widget_id`)"
"dashboard_drilldown_paths","idx_dashboard_drilldown_paths_status_changed_by","status_changed_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_dashboard_drilldown_paths_status_changed_by` (`status_changed_by`)"
"dashboard_drilldown_paths","idx_dashboard_drilldown_paths_updated_by","updated_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_dashboard_drilldown_paths_updated_by` (`updated_by`)"
"dashboard_drilldown_paths","pk_dashboard_drilldown_paths","id","BTREE","YES","Primary lookup and relationship target.","required","UNIQUE KEY `pk_dashboard_drilldown_paths` (`id`)"
"dashboard_drilldown_paths","uk_dashboard_drilldown_paths_organization_id_interaction_id_","organization_id, interaction_id, step_no","BTREE","YES","Business uniqueness rule.","required","UNIQUE KEY `uk_dashboard_drilldown_paths_organization_id_interaction_id_` (`organization_id`, `interaction_id`, `step_no`)"
"dashboard_exports","idx_dashboard_exports_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_dashboard_exports_created_by` (`created_by`)"
"dashboard_exports","idx_dashboard_exports_dashboard_id","dashboard_id","BTREE","NO","Foreign key lookup to bi_dashboards.","required","KEY `idx_dashboard_exports_dashboard_id` (`dashboard_id`)"
