"RelationshipID","FromTable","FromColumn","ToTable","ToColumn","Required","OnUpdate","OnDelete","BusinessRule"
"REL-0027","positions","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0028","positions","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0029","positions","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0030","positions","department_id","departments","id","NO","CASCADE","SET NULL","Must reference an existing departments record unless nullable."
"REL-0031","system_settings","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0032","system_settings","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0033","system_settings","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0034","system_settings","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0035","system_settings","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0074","user_profiles","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0075","user_profiles","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0076","user_profiles","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0077","user_profiles","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0078","user_profiles","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0079","user_profiles","department_id","departments","id","NO","CASCADE","SET NULL","Must reference an existing departments record unless nullable."
"REL-0080","user_profiles","home_project_id","bi_projects","id","NO","CASCADE","SET NULL","Must reference an existing bi_projects record unless nullable."
"REL-0081","user_profiles","position_id","positions","id","NO","CASCADE","SET NULL","Must reference an existing positions record unless nullable."
"REL-0082","roles","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0083","roles","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0084","roles","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0085","roles","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0086","roles","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0087","permissions","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0088","permissions","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0089","permissions","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0090","permissions","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0091","role_permissions","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0092","role_permissions","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0093","role_permissions","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0094","role_permissions","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0095","role_permissions","permission_id","permissions","id","YES","CASCADE","RESTRICT","Must reference an existing permissions record unless nullable."
"REL-0096","role_permissions","role_id","roles","id","YES","CASCADE","RESTRICT","Must reference an existing roles record unless nullable."
"REL-0097","user_roles","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0098","user_roles","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0099","user_roles","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0100","user_roles","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0101","user_roles","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0102","user_roles","role_id","roles","id","YES","CASCADE","RESTRICT","Must reference an existing roles record unless nullable."
"REL-0103","user_roles","user_id","user_profiles","id","YES","CASCADE","RESTRICT","Must reference an existing user_profiles record unless nullable."
"REL-0125","bi_projects","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0126","bi_projects","branch_id","branches","id","NO","CASCADE","SET NULL","ใช้เมื่อข้อมูลต้องถูกกรองหรือกำหนดสิทธิ์ตามสาขา หากว่างถือว่าเป็นระดับองค์กร"
"REL-0127","bi_projects","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0128","bi_projects","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0129","bi_projects","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0130","bi_projects","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0131","bi_projects","active_dashboard_id","bi_dashboards","id","NO","CASCADE","SET NULL","Must reference an existing bi_dashboards record unless nullable."
"REL-0132","bi_projects","active_sheet_id","bi_sheets","id","NO","CASCADE","SET NULL","Must reference an existing bi_sheets record unless nullable."
"REL-0133","bi_projects","owner_user_id","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0134","bi_project_members","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0135","bi_project_members","branch_id","branches","id","NO","CASCADE","SET NULL","ใช้เมื่อข้อมูลต้องถูกกรองหรือกำหนดสิทธิ์ตามสาขา หากว่างถือว่าเป็นระดับองค์กร"
"REL-0136","bi_project_members","project_id","bi_projects","id","YES","CASCADE","RESTRICT","Must reference an existing bi_projects record unless nullable."
"REL-0137","bi_project_members","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0138","bi_project_members","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0139","bi_project_members","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0140","bi_project_members","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0141","bi_project_members","role_id","roles","id","NO","CASCADE","SET NULL","Must reference an existing roles record unless nullable."
"REL-0142","bi_project_members","user_id","user_profiles","id","YES","CASCADE","RESTRICT","Must reference an existing user_profiles record unless nullable."
"REL-0143","bi_sheets","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0144","bi_sheets","branch_id","branches","id","NO","CASCADE","SET NULL","ใช้เมื่อข้อมูลต้องถูกกรองหรือกำหนดสิทธิ์ตามสาขา หากว่างถือว่าเป็นระดับองค์กร"
"REL-0145","bi_sheets","project_id","bi_projects","id","YES","CASCADE","RESTRICT","Must reference an existing bi_projects record unless nullable."
"REL-0146","bi_sheets","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0147","bi_sheets","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0148","bi_sheets","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0149","bi_sheets","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0150","workspace_contexts","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0151","workspace_contexts","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0152","workspace_contexts","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0153","workspace_contexts","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0154","workspace_contexts","active_dashboard_id","bi_dashboards","id","NO","CASCADE","SET NULL","Must reference an existing bi_dashboards record unless nullable."
"REL-0155","workspace_contexts","active_project_id","bi_projects","id","NO","CASCADE","SET NULL","Must reference an existing bi_projects record unless nullable."
"REL-0156","workspace_contexts","active_sheet_id","bi_sheets","id","NO","CASCADE","SET NULL","Must reference an existing bi_sheets record unless nullable."
"REL-0157","workspace_contexts","user_id","user_profiles","id","YES","CASCADE","RESTRICT","Must reference an existing user_profiles record unless nullable."
"REL-0158","bi_dashboards","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0159","bi_dashboards","branch_id","branches","id","NO","CASCADE","SET NULL","ใช้เมื่อข้อมูลต้องถูกกรองหรือกำหนดสิทธิ์ตามสาขา หากว่างถือว่าเป็นระดับองค์กร"
"REL-0160","bi_dashboards","project_id","bi_projects","id","YES","CASCADE","RESTRICT","Must reference an existing bi_projects record unless nullable."
"REL-0161","bi_dashboards","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0162","bi_dashboards","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0163","bi_dashboards","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0164","bi_dashboards","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0165","bi_dashboards","sheet_id","bi_sheets","id","NO","CASCADE","SET NULL","Must reference an existing bi_sheets record unless nullable."
"REL-0166","dashboard_versions","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0167","dashboard_versions","dashboard_id","bi_dashboards","id","YES","CASCADE","RESTRICT","Must reference an existing bi_dashboards record unless nullable."
"REL-0168","dashboard_versions","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0169","dashboard_versions","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0175","dashboard_widgets","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0176","dashboard_widgets","branch_id","branches","id","NO","CASCADE","SET NULL","ใช้เมื่อข้อมูลต้องถูกกรองหรือกำหนดสิทธิ์ตามสาขา หากว่างถือว่าเป็นระดับองค์กร"
"REL-0177","dashboard_widgets","dashboard_id","bi_dashboards","id","YES","CASCADE","RESTRICT","Must reference an existing bi_dashboards record unless nullable."
"REL-0178","dashboard_widgets","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0179","dashboard_widgets","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0180","dashboard_widgets","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0181","dashboard_widgets","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0182","dashboard_widgets","source_chart_id","charts","id","NO","CASCADE","SET NULL","Must reference an existing charts record unless nullable."
"REL-0222","dashboard_templates","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0223","dashboard_templates","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0224","dashboard_templates","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0225","dashboard_templates","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0226","dashboard_templates","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0227","dashboard_template_widgets","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0228","dashboard_template_widgets","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0229","dashboard_template_widgets","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0230","dashboard_template_widgets","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0231","dashboard_template_widgets","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0232","dashboard_template_widgets","template_id","dashboard_templates","id","YES","CASCADE","RESTRICT","Must reference an existing dashboard_templates record unless nullable."
"REL-0233","dashboard_filter_presets","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0234","dashboard_filter_presets","branch_id","branches","id","NO","CASCADE","SET NULL","ใช้เมื่อข้อมูลต้องถูกกรองหรือกำหนดสิทธิ์ตามสาขา หากว่างถือว่าเป็นระดับองค์กร"
"REL-0235","dashboard_filter_presets","dashboard_id","bi_dashboards","id","YES","CASCADE","RESTRICT","Must reference an existing bi_dashboards record unless nullable."
"REL-0236","dashboard_filter_presets","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0237","dashboard_filter_presets","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0238","dashboard_filter_presets","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0239","dashboard_filter_presets","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0240","dashboard_filter_presets","owner_user_id","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0241","dashboard_filter_values","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0242","dashboard_filter_values","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0243","dashboard_filter_values","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0244","dashboard_filter_values","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0245","dashboard_filter_values","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0246","dashboard_filter_values","preset_id","dashboard_filter_presets","id","YES","CASCADE","RESTRICT","Must reference an existing dashboard_filter_presets record unless nullable."
"REL-0247","dashboard_interactions","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0248","dashboard_interactions","dashboard_id","bi_dashboards","id","YES","CASCADE","RESTRICT","Must reference an existing bi_dashboards record unless nullable."
"REL-0249","dashboard_interactions","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0250","dashboard_interactions","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0251","dashboard_interactions","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0252","dashboard_interactions","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0253","dashboard_interactions","source_widget_id","dashboard_widgets","id","NO","CASCADE","SET NULL","Must reference an existing dashboard_widgets record unless nullable."
"REL-0254","dashboard_drilldown_paths","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0255","dashboard_drilldown_paths","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0256","dashboard_drilldown_paths","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0257","dashboard_drilldown_paths","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0258","dashboard_drilldown_paths","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0259","dashboard_drilldown_paths","interaction_id","dashboard_interactions","id","YES","CASCADE","RESTRICT","Must reference an existing dashboard_interactions record unless nullable."
"REL-0260","dashboard_drilldown_paths","source_widget_id","dashboard_widgets","id","NO","CASCADE","SET NULL","Must reference an existing dashboard_widgets record unless nullable."
"REL-0261","saved_views","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0262","saved_views","branch_id","branches","id","NO","CASCADE","SET NULL","ใช้เมื่อข้อมูลต้องถูกกรองหรือกำหนดสิทธิ์ตามสาขา หากว่างถือว่าเป็นระดับองค์กร"
"REL-0263","saved_views","project_id","bi_projects","id","NO","CASCADE","SET NULL","Must reference an existing bi_projects record unless nullable."
"REL-0264","saved_views","dashboard_id","bi_dashboards","id","NO","CASCADE","SET NULL","Must reference an existing bi_dashboards record unless nullable."
"REL-0265","saved_views","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0266","saved_views","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0267","saved_views","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0268","saved_views","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0269","saved_views","owner_user_id","user_profiles","id","YES","CASCADE","RESTRICT","Must reference an existing user_profiles record unless nullable."
"REL-0276","chart_types","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0277","chart_types","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0278","chart_types","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0279","chart_types","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0280","chart_type_requirements","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0281","chart_type_requirements","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0282","chart_type_requirements","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0283","chart_type_requirements","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0284","chart_type_requirements","chart_type_id","chart_types","id","YES","CASCADE","RESTRICT","Must reference an existing chart_types record unless nullable."
"REL-0285","chart_templates","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0286","chart_templates","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0287","chart_templates","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0288","chart_templates","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0289","chart_templates","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0290","chart_templates","chart_type_id","chart_types","id","YES","CASCADE","RESTRICT","Must reference an existing chart_types record unless nullable."
"REL-0297","chart_presets","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0298","chart_presets","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0299","chart_presets","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0300","chart_presets","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0301","chart_presets","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0302","chart_presets","chart_type_id","chart_types","id","YES","CASCADE","RESTRICT","Must reference an existing chart_types record unless nullable."
"REL-0303","chart_presets","owner_user_id","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0304","chart_theme_presets","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0305","chart_theme_presets","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0306","chart_theme_presets","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0307","chart_theme_presets","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0308","chart_theme_presets","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0309","charts","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0310","charts","branch_id","branches","id","NO","CASCADE","SET NULL","ใช้เมื่อข้อมูลต้องถูกกรองหรือกำหนดสิทธิ์ตามสาขา หากว่างถือว่าเป็นระดับองค์กร"
"REL-0311","charts","project_id","bi_projects","id","YES","CASCADE","RESTRICT","Must reference an existing bi_projects record unless nullable."
"REL-0312","charts","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0313","charts","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0314","charts","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0315","charts","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0316","charts","chart_type_id","chart_types","id","YES","CASCADE","RESTRICT","Must reference an existing chart_types record unless nullable."
"REL-0317","charts","dataset_id","datasets","id","NO","CASCADE","SET NULL","Must reference an existing datasets record unless nullable."
"REL-0318","charts","sql_query_id","sql_queries","id","NO","CASCADE","SET NULL","Must reference an existing sql_queries record unless nullable."
"REL-0319","chart_versions","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
