"EnumGroup","Value","LabelTH","LabelEN","Meaning","StorageColumn","SortOrder","Default","Terminal","Notes"
"widget_type","kpi","ตัวชี้วัด","kpi","หมายถึง ตัวชี้วัด สำหรับกลุ่ม widget_type","dashboard_widgets","2","NO","NO","Mirrors DashboardCanvasBuilder ELEMENTS and WIDGET_LABELS."
"widget_type","table","ตาราง","table","หมายถึง ตาราง สำหรับกลุ่ม widget_type","dashboard_widgets","3","NO","NO","Mirrors DashboardCanvasBuilder ELEMENTS and WIDGET_LABELS."
"widget_type","text","ข้อความ","text","หมายถึง ข้อความ สำหรับกลุ่ม widget_type","dashboard_widgets","4","NO","NO","Mirrors DashboardCanvasBuilder ELEMENTS and WIDGET_LABELS."
"widget_type","image","รูปภาพ","image","หมายถึง รูปภาพ สำหรับกลุ่ม widget_type","dashboard_widgets","5","NO","NO","Mirrors DashboardCanvasBuilder ELEMENTS and WIDGET_LABELS."
"widget_type","filter","ตัวกรอง","filter","หมายถึง ตัวกรอง สำหรับกลุ่ม widget_type","dashboard_widgets","6","NO","NO","Mirrors DashboardCanvasBuilder ELEMENTS and WIDGET_LABELS."
"widget_type","divider","เส้นแบ่ง","divider","หมายถึง เส้นแบ่ง สำหรับกลุ่ม widget_type","dashboard_widgets","7","NO","NO","Mirrors DashboardCanvasBuilder ELEMENTS and WIDGET_LABELS."
"widget_type","button","ปุ่ม","button","หมายถึง ปุ่ม สำหรับกลุ่ม widget_type","dashboard_widgets","8","NO","NO","Mirrors DashboardCanvasBuilder ELEMENTS and WIDGET_LABELS."
"widget_type","shape","รูปร่าง","shape","หมายถึง รูปร่าง สำหรับกลุ่ม widget_type","dashboard_widgets","9","NO","NO","Mirrors DashboardCanvasBuilder ELEMENTS and WIDGET_LABELS."
"chart_type","bar","กราฟแท่ง","bar","หมายถึง กราฟแท่ง สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","1","YES","NO","From dashboard-v2 chart type catalog."
"chart_type","clustered-bar","กราฟแท่งกลุ่ม","clustered-bar","หมายถึง กราฟแท่งกลุ่ม สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","2","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","stacked-bar","กราฟแท่งซ้อน","stacked-bar","หมายถึง กราฟแท่งซ้อน สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","3","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","horizontal-bar","กราฟแท่งแนวนอน","horizontal-bar","หมายถึง กราฟแท่งแนวนอน สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","4","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","line","กราฟเส้น","line","หมายถึง กราฟเส้น สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","5","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","area","กราฟพื้นที่","area","หมายถึง กราฟพื้นที่ สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","6","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","pie","กราฟวงกลม","pie","หมายถึง กราฟวงกลม สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","7","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","donut","กราฟโดนัท","donut","หมายถึง กราฟโดนัท สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","8","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","table","ตาราง","table","หมายถึง ตาราง สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","9","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","kpi-card","การ์ดตัวชี้วัด","kpi-card","หมายถึง การ์ดตัวชี้วัด สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","10","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","column","กราฟคอลัมน์","column","หมายถึง กราฟคอลัมน์ สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","11","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","grouped-column","กราฟคอลัมน์กลุ่ม","grouped-column","หมายถึง กราฟคอลัมน์กลุ่ม สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","12","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","stacked-column","กราฟคอลัมน์ซ้อน","stacked-column","หมายถึง กราฟคอลัมน์ซ้อน สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","13","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","ranking-bar","กราฟจัดอันดับ","ranking-bar","หมายถึง กราฟจัดอันดับ สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","14","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","top-n-bar","กราฟอันดับสูงสุด","top-n-bar","หมายถึง กราฟอันดับสูงสุด สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","15","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","multi-line","กราฟหลายเส้น","multi-line","หมายถึง กราฟหลายเส้น สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","16","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","stacked-area","กราฟพื้นที่ซ้อน","stacked-area","หมายถึง กราฟพื้นที่ซ้อน สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","17","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","combo-bar-line","กราฟผสมแท่งและเส้น","combo-bar-line","หมายถึง กราฟผสมแท่งและเส้น สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","18","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","time-series-line","กราฟเส้นตามเวลา","time-series-line","หมายถึง กราฟเส้นตามเวลา สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","19","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","sparkline","กราฟเส้นย่อย","sparkline","หมายถึง กราฟเส้นย่อย สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","20","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","treemap","แผนภูมิต้นไม้","treemap","หมายถึง แผนภูมิต้นไม้ สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","21","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","sunburst","แผนภูมิซันเบิร์สต์","sunburst","หมายถึง แผนภูมิซันเบิร์สต์ สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","22","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","sankey","แผนภูมิแซงคีย์","sankey","หมายถึง แผนภูมิแซงคีย์ สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","23","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","candlestick","กราฟแท่งเทียน","candlestick","หมายถึง กราฟแท่งเทียน สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","24","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","boxplot","แผนภูมิกล่อง","boxplot","หมายถึง แผนภูมิกล่อง สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","25","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","calendar-heatmap","ฮีตแมปปฏิทิน","calendar-heatmap","หมายถึง ฮีตแมปปฏิทิน สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","26","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","graph-network","กราฟเครือข่าย","graph-network","หมายถึง กราฟเครือข่าย สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","27","NO","NO","From dashboard-v2 chart type catalog."
"chart_type","parallel-coordinates","พิกัดขนาน","parallel-coordinates","หมายถึง พิกัดขนาน สำหรับกลุ่ม chart_type","chart_types, charts, chart_templates","28","NO","NO","From dashboard-v2 chart type catalog."
"field_type","date","วันที่","date","หมายถึง วันที่ สำหรับกลุ่ม field_type","dataset_fields, data_source_columns, chart_field_mappings","1","NO","NO","Matches dashboard-v2 FieldType and CSV inference behavior."
"field_type","number","ตัวเลข","number","หมายถึง ตัวเลข สำหรับกลุ่ม field_type","dataset_fields, data_source_columns, chart_field_mappings","2","NO","NO","Matches dashboard-v2 FieldType and CSV inference behavior."
"field_type","text","ข้อความ","text","หมายถึง ข้อความ สำหรับกลุ่ม field_type","dataset_fields, data_source_columns, chart_field_mappings","3","YES","NO","Matches dashboard-v2 FieldType and CSV inference behavior."
"field_type","boolean","ตรรกะ","boolean","หมายถึง ตรรกะ สำหรับกลุ่ม field_type","dataset_fields, data_source_columns, chart_field_mappings","4","NO","NO","Matches dashboard-v2 FieldType and CSV inference behavior."
"field_type","currency","สกุลเงิน","currency","หมายถึง สกุลเงิน สำหรับกลุ่ม field_type","dataset_fields, data_source_columns, chart_field_mappings","5","NO","NO","Matches dashboard-v2 FieldType and CSV inference behavior."
"field_type","percentage","เปอร์เซ็นต์","percentage","หมายถึง เปอร์เซ็นต์ สำหรับกลุ่ม field_type","dataset_fields, data_source_columns, chart_field_mappings","6","NO","NO","Matches dashboard-v2 FieldType and CSV inference behavior."
"field_type","geography","ภูมิศาสตร์","geography","หมายถึง ภูมิศาสตร์ สำหรับกลุ่ม field_type","dataset_fields, data_source_columns, chart_field_mappings","7","NO","NO","Matches dashboard-v2 FieldType and CSV inference behavior."
"semantic_type","measure","ค่ามาตรวัด","measure","หมายถึง ค่ามาตรวัด สำหรับกลุ่ม semantic_type","dataset_fields, data_source_columns","1","NO","NO","Supports field recommendations and chart mapping validation."
"semantic_type","dimension","มิติข้อมูล","dimension","หมายถึง มิติข้อมูล สำหรับกลุ่ม semantic_type","dataset_fields, data_source_columns","2","YES","NO","Supports field recommendations and chart mapping validation."
"semantic_type","date","วันที่","date","หมายถึง วันที่ สำหรับกลุ่ม semantic_type","dataset_fields, data_source_columns","3","NO","NO","Supports field recommendations and chart mapping validation."
"semantic_type","identifier","ตัวระบุ","identifier","หมายถึง ตัวระบุ สำหรับกลุ่ม semantic_type","dataset_fields, data_source_columns","4","NO","NO","Supports field recommendations and chart mapping validation."
"semantic_type","geography","ภูมิศาสตร์","geography","หมายถึง ภูมิศาสตร์ สำหรับกลุ่ม semantic_type","dataset_fields, data_source_columns","5","NO","NO","Supports field recommendations and chart mapping validation."
"semantic_type","currency","สกุลเงิน","currency","หมายถึง สกุลเงิน สำหรับกลุ่ม semantic_type","dataset_fields, data_source_columns","6","NO","NO","Supports field recommendations and chart mapping validation."
"semantic_type","percentage","เปอร์เซ็นต์","percentage","หมายถึง เปอร์เซ็นต์ สำหรับกลุ่ม semantic_type","dataset_fields, data_source_columns","7","NO","NO","Supports field recommendations and chart mapping validation."
"mapping_slot","xAxis","แกน X","xAxis","หมายถึง แกน X สำหรับกลุ่ม mapping_slot","chart_field_mappings, chart_type_requirements","1","YES","NO","Directly matches DashboardDesignerV2 MappingSlotId."
"mapping_slot","yAxis","แกน Y","yAxis","หมายถึง แกน Y สำหรับกลุ่ม mapping_slot","chart_field_mappings, chart_type_requirements","2","NO","NO","Directly matches DashboardDesignerV2 MappingSlotId."
"mapping_slot","legend","คำอธิบายชุดข้อมูล","legend","หมายถึง คำอธิบายชุดข้อมูล สำหรับกลุ่ม mapping_slot","chart_field_mappings, chart_type_requirements","3","NO","NO","Directly matches DashboardDesignerV2 MappingSlotId."
"mapping_slot","tooltip","คำแนะนำเมื่อชี้","tooltip","หมายถึง คำแนะนำเมื่อชี้ สำหรับกลุ่ม mapping_slot","chart_field_mappings, chart_type_requirements","4","NO","NO","Directly matches DashboardDesignerV2 MappingSlotId."
"mapping_slot","filter","ตัวกรอง","filter","หมายถึง ตัวกรอง สำหรับกลุ่ม mapping_slot","chart_field_mappings, chart_type_requirements","5","NO","NO","Directly matches DashboardDesignerV2 MappingSlotId."
"mapping_slot","color","สี","color","หมายถึง สี สำหรับกลุ่ม mapping_slot","chart_field_mappings, chart_type_requirements","6","NO","NO","Directly matches DashboardDesignerV2 MappingSlotId."
"mapping_slot","size","ขนาด","size","หมายถึง ขนาด สำหรับกลุ่ม mapping_slot","chart_field_mappings, chart_type_requirements","7","NO","NO","Directly matches DashboardDesignerV2 MappingSlotId."
"mapping_slot","value","ค่า","value","หมายถึง ค่า สำหรับกลุ่ม mapping_slot","chart_field_mappings, chart_type_requirements","8","NO","NO","Directly matches DashboardDesignerV2 MappingSlotId."
"mapping_slot","category","หมวดหมู่","category","หมายถึง หมวดหมู่ สำหรับกลุ่ม mapping_slot","chart_field_mappings, chart_type_requirements","9","NO","NO","Directly matches DashboardDesignerV2 MappingSlotId."
"mapping_slot","series","ชุดข้อมูล","series","หมายถึง ชุดข้อมูล สำหรับกลุ่ม mapping_slot","chart_field_mappings, chart_type_requirements","10","NO","NO","Directly matches DashboardDesignerV2 MappingSlotId."
"mapping_slot","rows","แถว","rows","หมายถึง แถว สำหรับกลุ่ม mapping_slot","chart_field_mappings, chart_type_requirements","11","NO","NO","Directly matches DashboardDesignerV2 MappingSlotId."
"mapping_slot","columns","คอลัมน์","columns","หมายถึง คอลัมน์ สำหรับกลุ่ม mapping_slot","chart_field_mappings, chart_type_requirements","12","NO","NO","Directly matches DashboardDesignerV2 MappingSlotId."
"mapping_slot","source","ต้นทาง","source","หมายถึง ต้นทาง สำหรับกลุ่ม mapping_slot","chart_field_mappings, chart_type_requirements","13","NO","NO","Directly matches DashboardDesignerV2 MappingSlotId."
"mapping_slot","target","ปลายทาง","target","หมายถึง ปลายทาง สำหรับกลุ่ม mapping_slot","chart_field_mappings, chart_type_requirements","14","NO","NO","Directly matches DashboardDesignerV2 MappingSlotId."
"mapping_slot","open","ราคาเปิด","open","หมายถึง ราคาเปิด สำหรับกลุ่ม mapping_slot","chart_field_mappings, chart_type_requirements","15","NO","NO","Directly matches DashboardDesignerV2 MappingSlotId."
"mapping_slot","high","ค่าสูงสุด","high","หมายถึง ค่าสูงสุด สำหรับกลุ่ม mapping_slot","chart_field_mappings, chart_type_requirements","16","NO","NO","Directly matches DashboardDesignerV2 MappingSlotId."
"mapping_slot","low","ค่าต่ำสุด","low","หมายถึง ค่าต่ำสุด สำหรับกลุ่ม mapping_slot","chart_field_mappings, chart_type_requirements","17","NO","NO","Directly matches DashboardDesignerV2 MappingSlotId."
"mapping_slot","close","ราคาปิด","close","หมายถึง ราคาปิด สำหรับกลุ่ม mapping_slot","chart_field_mappings, chart_type_requirements","18","NO","NO","Directly matches DashboardDesignerV2 MappingSlotId."
"aggregation_type","None","ไม่รวมค่า","None","หมายถึง ไม่รวมค่า สำหรับกลุ่ม aggregation_type","chart_field_mappings, sql_query_saved_parameters","1","NO","NO","Use None for dimensions and already aggregated measures."
"aggregation_type","Sum","ผลรวม","Sum","หมายถึง ผลรวม สำหรับกลุ่ม aggregation_type","chart_field_mappings, sql_query_saved_parameters","2","YES","NO","Use None for dimensions and already aggregated measures."
"aggregation_type","Average","ค่าเฉลี่ย","Average","หมายถึง ค่าเฉลี่ย สำหรับกลุ่ม aggregation_type","chart_field_mappings, sql_query_saved_parameters","3","NO","NO","Use None for dimensions and already aggregated measures."
"aggregation_type","Min","ค่าต่ำสุด","Min","หมายถึง ค่าต่ำสุด สำหรับกลุ่ม aggregation_type","chart_field_mappings, sql_query_saved_parameters","4","NO","NO","Use None for dimensions and already aggregated measures."
"aggregation_type","Max","ค่าสูงสุด","Max","หมายถึง ค่าสูงสุด สำหรับกลุ่ม aggregation_type","chart_field_mappings, sql_query_saved_parameters","5","NO","NO","Use None for dimensions and already aggregated measures."
"aggregation_type","Count","จำนวน","Count","หมายถึง จำนวน สำหรับกลุ่ม aggregation_type","chart_field_mappings, sql_query_saved_parameters","6","NO","NO","Use None for dimensions and already aggregated measures."
"aggregation_type","Count Distinct","จำนวนค่าไม่ซ้ำ","Count Distinct","หมายถึง จำนวนค่าไม่ซ้ำ สำหรับกลุ่ม aggregation_type","chart_field_mappings, sql_query_saved_parameters","7","NO","NO","Use None for dimensions and already aggregated measures."
"aggregation_type","Median","มัธยฐาน","Median","หมายถึง มัธยฐาน สำหรับกลุ่ม aggregation_type","chart_field_mappings, sql_query_saved_parameters","8","NO","NO","Use None for dimensions and already aggregated measures."
"aggregation_type","First","ค่าแรก","First","หมายถึง ค่าแรก สำหรับกลุ่ม aggregation_type","chart_field_mappings, sql_query_saved_parameters","9","NO","NO","Use None for dimensions and already aggregated measures."
"aggregation_type","Last","ค่าสุดท้าย","Last","หมายถึง ค่าสุดท้าย สำหรับกลุ่ม aggregation_type","chart_field_mappings, sql_query_saved_parameters","10","NO","NO","Use None for dimensions and already aggregated measures."
"sort_mode","none","ไม่มี","none","หมายถึง ไม่มี สำหรับกลุ่ม sort_mode","charts, chart_settings","1","YES","NO","Mirrors chart designer sort behavior."
"sort_mode","ascending","เรียงจากน้อยไปมาก","ascending","หมายถึง เรียงจากน้อยไปมาก สำหรับกลุ่ม sort_mode","charts, chart_settings","2","NO","NO","Mirrors chart designer sort behavior."
"sort_mode","descending","เรียงจากมากไปน้อย","descending","หมายถึง เรียงจากมากไปน้อย สำหรับกลุ่ม sort_mode","charts, chart_settings","3","NO","NO","Mirrors chart designer sort behavior."
"sort_mode","byValueAscending","เรียงตามค่าจากน้อยไปมาก","byValueAscending","หมายถึง เรียงตามค่าจากน้อยไปมาก สำหรับกลุ่ม sort_mode","charts, chart_settings","4","NO","NO","Mirrors chart designer sort behavior."
"sort_mode","byValueDescending","เรียงตามค่าจากมากไปน้อย","byValueDescending","หมายถึง เรียงตามค่าจากมากไปน้อย สำหรับกลุ่ม sort_mode","charts, chart_settings","5","NO","NO","Mirrors chart designer sort behavior."
"sort_mode","monthOrder","เรียงตามลำดับเดือน","monthOrder","หมายถึง เรียงตามลำดับเดือน สำหรับกลุ่ม sort_mode","charts, chart_settings","6","NO","NO","Mirrors chart designer sort behavior."
"sort_mode","dateOrder","เรียงตามลำดับวันที่","dateOrder","หมายถึง เรียงตามลำดับวันที่ สำหรับกลุ่ม sort_mode","charts, chart_settings","7","NO","NO","Mirrors chart designer sort behavior."
"source_type","demo","ข้อมูลตัวอย่าง","demo","หมายถึง ข้อมูลตัวอย่าง สำหรับกลุ่ม source_type","charts, datasets, data_source_connections, sql_queries","1","YES","NO","Extends current demo/api sourceType for production imports."
"source_type","demo-sql","SQL ตัวอย่าง","demo-sql","หมายถึง SQL ตัวอย่าง สำหรับกลุ่ม source_type","charts, datasets, data_source_connections, sql_queries","2","NO","NO","Extends current demo/api sourceType for production imports."
"source_type","api","เอพีไอ","api","หมายถึง เอพีไอ สำหรับกลุ่ม source_type","charts, datasets, data_source_connections, sql_queries","3","NO","NO","Extends current demo/api sourceType for production imports."
"source_type","database","ฐานข้อมูล","database","หมายถึง ฐานข้อมูล สำหรับกลุ่ม source_type","charts, datasets, data_source_connections, sql_queries","4","NO","NO","Extends current demo/api sourceType for production imports."
"source_type","csv","ไฟล์ CSV","csv","หมายถึง ไฟล์ CSV สำหรับกลุ่ม source_type","charts, datasets, data_source_connections, sql_queries","5","NO","NO","Extends current demo/api sourceType for production imports."
"source_type","excel","ไฟล์ Excel","excel","หมายถึง ไฟล์ Excel สำหรับกลุ่ม source_type","charts, datasets, data_source_connections, sql_queries","6","NO","NO","Extends current demo/api sourceType for production imports."
"source_type","google-sheets","กูเกิลชีต","google-sheets","หมายถึง กูเกิลชีต สำหรับกลุ่ม source_type","charts, datasets, data_source_connections, sql_queries","7","NO","NO","Extends current demo/api sourceType for production imports."
"connection_type","postgresql","ฐานข้อมูล PostgreSQL","postgresql","หมายถึง ฐานข้อมูล PostgreSQL สำหรับกลุ่ม connection_type","data_source_types, data_source_connections","1","NO","NO","From DatabaseConnectionPage supported connection choices."
"connection_type","mysql","ฐานข้อมูล MySQL","mysql","หมายถึง ฐานข้อมูล MySQL สำหรับกลุ่ม connection_type","data_source_types, data_source_connections","2","YES","NO","From DatabaseConnectionPage supported connection choices."
"connection_type","mariadb","ฐานข้อมูล MariaDB","mariadb","หมายถึง ฐานข้อมูล MariaDB สำหรับกลุ่ม connection_type","data_source_types, data_source_connections","3","NO","NO","From DatabaseConnectionPage supported connection choices."
"connection_type","sqlserver","ฐานข้อมูล SQL Server","sqlserver","หมายถึง ฐานข้อมูล SQL Server สำหรับกลุ่ม connection_type","data_source_types, data_source_connections","4","NO","NO","From DatabaseConnectionPage supported connection choices."
"connection_type","sqlite","ฐานข้อมูล SQLite","sqlite","หมายถึง ฐานข้อมูล SQLite สำหรับกลุ่ม connection_type","data_source_types, data_source_connections","5","NO","NO","From DatabaseConnectionPage supported connection choices."
"connection_type","oracle","ฐานข้อมูล Oracle","oracle","หมายถึง ฐานข้อมูล Oracle สำหรับกลุ่ม connection_type","data_source_types, data_source_connections","6","NO","NO","From DatabaseConnectionPage supported connection choices."
"connection_type","mongodb","ฐานข้อมูล MongoDB","mongodb","หมายถึง ฐานข้อมูล MongoDB สำหรับกลุ่ม connection_type","data_source_types, data_source_connections","7","NO","NO","From DatabaseConnectionPage supported connection choices."
"connection_type","google-sheets","กูเกิลชีต","google-sheets","หมายถึง กูเกิลชีต สำหรับกลุ่ม connection_type","data_source_types, data_source_connections","8","NO","NO","From DatabaseConnectionPage supported connection choices."
"connection_type","csv-excel","ไฟล์ CSV หรือ Excel","csv-excel","หมายถึง ไฟล์ CSV หรือ Excel สำหรับกลุ่ม connection_type","data_source_types, data_source_connections","9","NO","NO","From DatabaseConnectionPage supported connection choices."
"connection_mode","host","โฮสต์","host","หมายถึง โฮสต์ สำหรับกลุ่ม connection_mode","data_source_connections","1","YES","NO","No connection string secret value is stored in this design."
"connection_mode","file","ไฟล์","file","หมายถึง ไฟล์ สำหรับกลุ่ม connection_mode","data_source_connections","2","NO","NO","No connection string secret value is stored in this design."
"connection_mode","sheet","ชีต","sheet","หมายถึง ชีต สำหรับกลุ่ม connection_mode","data_source_connections","3","NO","NO","No connection string secret value is stored in this design."
"connection_mode","upload","อัปโหลด","upload","หมายถึง อัปโหลด สำหรับกลุ่ม connection_mode","data_source_connections","4","NO","NO","No connection string secret value is stored in this design."
"connection_mode","connectionString","สตริงเชื่อมต่อ","connectionString","หมายถึง สตริงเชื่อมต่อ สำหรับกลุ่ม connection_mode","data_source_connections","5","NO","NO","No connection string secret value is stored in this design."
"credential_auth_type","none","ไม่มี","none","หมายถึง ไม่มี สำหรับกลุ่ม credential_auth_type","data_source_connections, data_source_secret_references","1","YES","NO","Secret payloads must live in an external vault, not these tables."
"credential_auth_type","username-password","ผู้ใช้และรหัสผ่าน","username-password","หมายถึง ผู้ใช้และรหัสผ่าน สำหรับกลุ่ม credential_auth_type","data_source_connections, data_source_secret_references","2","NO","NO","Secret payloads must live in an external vault, not these tables."
"credential_auth_type","token","โทเคน","token","หมายถึง โทเคน สำหรับกลุ่ม credential_auth_type","data_source_connections, data_source_secret_references","3","NO","NO","Secret payloads must live in an external vault, not these tables."
"credential_auth_type","oauth","โอออธ","oauth","หมายถึง โอออธ สำหรับกลุ่ม credential_auth_type","data_source_connections, data_source_secret_references","4","NO","NO","Secret payloads must live in an external vault, not these tables."
"credential_auth_type","service-account","บัญชีบริการ","service-account","หมายถึง บัญชีบริการ สำหรับกลุ่ม credential_auth_type","data_source_connections, data_source_secret_references","5","NO","NO","Secret payloads must live in an external vault, not these tables."
"job_status","queued","รอคิว","queued","หมายถึง รอคิว สำหรับกลุ่ม job_status","import_jobs, export_jobs, dataset_refresh_jobs, sql_query_runs","1","YES","NO","Partial allows row-level validation issues while the parent job completes."
"job_status","running","กำลังทำงาน","running","หมายถึง กำลังทำงาน สำหรับกลุ่ม job_status","import_jobs, export_jobs, dataset_refresh_jobs, sql_query_runs","2","NO","NO","Partial allows row-level validation issues while the parent job completes."
"job_status","success","สำเร็จ","success","หมายถึง สำเร็จ สำหรับกลุ่ม job_status","import_jobs, export_jobs, dataset_refresh_jobs, sql_query_runs","3","NO","NO","Partial allows row-level validation issues while the parent job completes."
"job_status","failed","ล้มเหลว","failed","หมายถึง ล้มเหลว สำหรับกลุ่ม job_status","import_jobs, export_jobs, dataset_refresh_jobs, sql_query_runs","4","NO","YES","Partial allows row-level validation issues while the parent job completes."
"job_status","cancelled","ยกเลิก","cancelled","หมายถึง ยกเลิก สำหรับกลุ่ม job_status","import_jobs, export_jobs, dataset_refresh_jobs, sql_query_runs","5","NO","YES","Partial allows row-level validation issues while the parent job completes."
"job_status","partial","สำเร็จบางส่วน","partial","หมายถึง สำเร็จบางส่วน สำหรับกลุ่ม job_status","import_jobs, export_jobs, dataset_refresh_jobs, sql_query_runs","6","NO","NO","Partial allows row-level validation issues while the parent job completes."
"share_mode","readonly","อ่านอย่างเดียว","readonly","หมายถึง อ่านอย่างเดียว สำหรับกลุ่ม share_mode","dashboard_share_links, embed_settings","1","NO","NO","Matches local share utilities and public routes."
